Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,09-11-2015,380.256989,374.324005,385.278015,362.894989
BTC,10-11-2015,336.819,379.984009,381.386993,329.108002
BTC,11-11-2015,311.084015,339.820007,340.584991,300.997009
BTC,12-11-2015,338.152008,314.07901,345.080994,313.355988
BTC,13-11-2015,336.752991,338.497986,340.914001,326.075012
BTC,14-11-2015,332.906006,336.623993,338.181,329.970001
BTC,15-11-2015,320.165985,333.050995,334.661987,317.48999
BTC,16-11-2015,330.751007,319.734985,331.626007,315.904999
BTC,17-11-2015,335.093994,330.362,338.350006,329.614014
BTC,18-11-2015,334.589996,334.592987,336.531006,330.640015
BTC,19-11-2015,326.148987,334.678986,335.334015,325.27301
BTC,20-11-2015,322.022003,326.411011,326.472992,312.21701
BTC,21-11-2015,326.927002,322.09201,328.158997,319.595001
BTC,22-11-2015,324.536011,326.975006,327.01001,321.259003
BTC,23-11-2015,323.04599,324.350006,325.118011,321.290009
BTC,24-11-2015,320.04599,323.014008,323.058014,318.118011
BTC,25-11-2015,328.205994,320.045013,329.134003,316.769989
BTC,26-11-2015,352.68399,328.303009,366.756989,328.229004
BTC,27-11-2015,358.041992,351.860992,363.588989,347.869995
BTC,28-11-2015,357.381012,357.140991,359.536011,352.171997
BTC,29-11-2015,371.294006,357.471985,371.938995,355.665985
BTC,30-11-2015,377.321014,371.437012,382.363007,370.382996
BTC,01-12-2015,362.488007,377.414001,378.931,356.562988
BTC,02-12-2015,359.187012,361.845001,362.231995,349.464996
BTC,03-12-2015,361.04599,359.330994,370.274994,357.411987
BTC,04-12-2015,363.183014,361.261993,363.515991,355.756989
BTC,05-12-2015,388.949005,363.721008,389.785004,363.229004
BTC,06-12-2015,388.78299,389.554993,402.80899,387.088989
BTC,07-12-2015,395.536011,389.977997,399.968994,385.411011
